referring_domain,referring_url,anchor,dr,traffic,target_url,type,nofollow
,,Sem Título-2,4.9,0,https://fornecedores.aviva.com.br/,image,False
,,Aviva,17.0,0,https://www.aviva.com.br/,text,False
,,Check-in,47.0,0,http://webcheckin.aviva.com.br/,text,False
,,Aviva,40.0,0,http://www.aviva.com.br/,text,False
,,Conheça,40.0,0,https://www.aviva.com.br/,text,False
,,Aviva,45.0,0,http://www.aviva.com.br/,image,False
,,Check-in,47.0,0,http://webcheckin.aviva.com.br/,text,False
,,Aviva,89.0,0,https://www.aviva.com.br/,text,False
,,SITE OFICIAL,40.0,0,https://www.aviva.com.br/,text,False
,,Learn more,40.0,0,https://www.aviva.com.br/,text,False
,,Website,85.0,0,https://www.aviva.com.br/,text,False
,,www.aviva.com.br,91.0,0,http://www.aviva.com.br/,text,False
,,Política de Privacidade,47.0,0,https://www.aviva.com.br/politica-de-privacidade.php,text,False
,,Aviva,34.0,0,https://www.aviva.com.br/,text,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,Relatório de igualdade salarial,34.0,0,https://www.aviva.com.br/relatorio-de-igualdade-salarial/,text,False
,,Seja Parceiro,34.0,0,https://fornecedores.aviva.com.br/,text,False
,,Tem uma reserva?,34.0,0,http://webcheckin.aviva.com.br/,text,False
,,logo-aviva,34.0,0,https://www.aviva.com.br/,image,False
,,Conocer,40.0,0,https://www.aviva.com.br/,text,False
,,https://www.aviva.com.br/portaldeprivacidade,17.0,0,https://www.aviva.com.br/portaldeprivacidade/,text,False
,,Apoio 27 - Aviva,61.0,0,https://www.aviva.com.br/,image,False
,,Política de Privacidade e Cookies | Aviva,0.9,0,https://www.aviva.com.br/politica-de-privacidade.php,text,False
,,site oficial da Aviva,65.0,0,https://reservas.aviva.com.br/b2c/hotel/U99364/M35262/23-01-2026/01-02-2026/2,text,False
,,logo da empresa,26.0,0,https://www.aviva.com.br/,image,False
,,https://aviva.com.br,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,4.0,0,https://aviva.com.br/,text,False
,,Visitar parceiro,6.0,0,https://www.aviva.com.br/,text,False
,,,0.0,0,https://www.aviva.com.br/,redirect,False
,,,3.3,0,https://www.aviva.com.br/programacao-diaria,redirect,False
,,AVIVA,28.0,0,https://www.aviva.com.br/,text,True
,,,49.0,0,https://www.aviva.com.br/,image,False
,,https://aviva.com.br.,26.0,0,https://www.aviva.com.br/,text,False
,,Check-In,47.0,0,http://webcheckin.aviva.com.br/,text,False
,,Aviva,23.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,4.8,0,https://aviva.com.br/,text,False
,,a gestora do Hot Park e dos complexos turísticos Rio Quente Resorts (GO) e Costa do Sauípe (BA),54.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,30.0,0,https://www.aviva.com.br/,text,False
,,http://www.aviva.com.br,74.0,0,http://www.aviva.com.br/,text,True
,,AVIVA,71.0,0,https://www.aviva.com.br/,image,False
,,"Web Check-In Web Check-In Garanta agilidade e comodidade em suas férias, faça o check-in online antecipado! A entrada para sua acomodação será a partir das 15h. Fazer Check-In",34.0,0,https://services.aviva.com.br/,image,False
,,clicando aqui,34.0,0,https://services.aviva.com.br/,text,False
,,Web check-in,34.0,0,http://webcheckin.aviva.com.br/,text,False
,,aviva.com.br,4.0,0,https://www.aviva.com.br/,text,False
,,Fazer web check-In,34.0,0,https://services.aviva.com.br/,text,False
,,,2.6,0,https://fornecedores.aviva.com.br/,redirect,False
,,Web Check-in,34.0,0,http://webcheckin.aviva.com.br/,text,False
,,Web Check-in,34.0,0,https://services.aviva.com.br/,text,False
,,Check-In Online Check-In Online,34.0,0,https://services.aviva.com.br/,image,False
,,Relatório de Igualdade Salarial,34.0,0,https://www.aviva.com.br/relatorio-de-igualdade-salarial/,text,False
,,https://aviva.com.br,8.0,0,https://aviva.com.br/,text,False
,,https://convenios.aviva.com.br/,19.0,0,https://convenios.aviva.com.br/,text,False
,,Você tem uma reserva? Faça Check-in,34.0,0,https://services.aviva.com.br/,text,False
,,https://aviva.com.br.,24.0,0,https://www.aviva.com.br/,text,False
,,WEB CHECK-IN,34.0,0,http://webcheckin.aviva.com.br/,text,False
,,Aviva,11.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,Learn more about us,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,0.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,47.0,0,https://www.aviva.com.br/,text,False
,,,0.3,0,http://www.aviva.com.br/,image,False
,,ValeTur,42.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,27.0,0,https://aviva.com.br/,text,False
,,plataforma de viagens e entretenimento,54.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,20.0,0,https://www.aviva.com.br/,text,False
,,Aviva,83.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,Valetur Viagens,20.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,26.0,0,https://aviva.com.br/,text,False
,,Aviva,55.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,Valetur Viagens,18.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,29.0,0,https://www.aviva.com.br/,text,False
,,Aviva,24.0,0,https://www.aviva.com.br/,text,False
,,Valetur,89.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,2.9,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,2.9,0,https://www.aviva.com.br/,text,False
,,Aviva,54.0,0,https://www.aviva.com.br/,text,False
,,Aviva,16.0,0,https://www.aviva.com.br/,text,False
,,Aviva Destinos,71.0,0,https://www.aviva.com.br/,image,False
,,Valetur Viagens,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,site,36.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,35.0,0,https://www.aviva.com.br/,text,False
,,voos fretados,11.0,0,https://fornecedores.aviva.com.br/,text,False
,,https://aviva.com.br,0.1,0,https://www.aviva.com.br/,text,False
,,Aviva,29.0,0,https://www.aviva.com.br/,text,False
,,Valetur,89.0,0,https://fornecedores.aviva.com.br/,text,False
,,aviva.com.br,27.0,0,https://aviva.com.br/,text,False
,,Aviva,57.0,0,http://www.aviva.com.br/,text,False
,,https://aviva.com.br,1.4,0,https://aviva.com.br/,text,False
,,empresa,55.0,0,https://www.aviva.com.br/,text,False
,,Aviva Algar FLC,57.0,0,https://fornecedores.aviva.com.br/,text,False
,,Aviva,27.0,0,https://www.aviva.com.br/,image,False
,,entretenimento,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,25.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,40.0,0,https://aviva.com.br/,text,False
,,empresa,54.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,4.0,0,https://aviva.com.br/,text,False
,,https://reservas.aviva.com.br/infotravel,13.0,0,https://reservas.aviva.com.br/infotravel/,text,True
,,AVIVA,23.0,0,http://aviva.com.br/,image,False
,,https://aviva.com.br,0.8,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,18.0,0,https://www.aviva.com.br/,text,False
,,Aviva,57.0,0,http://www.aviva.com.br/,text,False
,,https://aviva.com.br,34.0,0,https://aviva.com.br/,text,False
,,https://www.aviva.com.br/portaldeprivacidade,4.9,0,https://www.aviva.com.br/portaldeprivacidade,text,False
,,Aviva,24.0,0,https://www.aviva.com.br/,text,False
,,agente.valetur.com.br,71.0,0,https://reservas.aviva.com.br/infotravel/,text,False
,,,71.0,0,https://www.aviva.com.br/,image,False
,,https://aviva.com.br,13.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,20.0,0,https://aviva.com.br/,text,False
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,22.0,0,https://aviva.com.br/,text,False
,,Visitar página,40.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,48.0,0,https://aviva.com.br/,text,False
,,Aviva,35.0,0,https://www.aviva.com.br/,text,False
,,Site,52.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,8.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,8.0,0,https://aviva.com.br/,text,False
,,https://aviva.com.br,36.0,0,https://aviva.com.br/,text,True
,,Aviva,57.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,36.0,0,https://www.aviva.com.br/,text,False
,,www.aviva.com.br,57.0,0,http://www.aviva.com.br/,text,False
,,Aviva,22.0,0,https://www.aviva.com.br/,text,False
,,http://www.aviva.com.br,27.0,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,0.1,0,https://www.aviva.com.br/,text,False
,,https://aviva.com.br,38.0,0,https://aviva.com.br/,text,False
,,aviva.com.br,75.0,0,https://www.aviva.com.br/,text,True
,,Site oficial,6.0,0,http://www.aviva.com.br/,text,False
,,Aviva,23.0,0,https://www.aviva.com.br/,image,False
,,https://aviva.com.br,4.5,0,https://www.aviva.com.br/,text,False
